"Top performers"
"Name","ISIN","Market","Last","Volume","Change","Date/Time","Time zone"
"AXA","FR0000120628","Paris","21.195","1.345.246,00","-0.53965","26/03/2018 09:46:00","CET"
"CREDIT AGRICOLE","FR0000045072","Paris","13.145","585.535,00","-0.15192","26/03/2018 07:46:00","CET"
"VALLOUREC","FR0000120354","Paris","4.397","585.121,00","-0.13627","26/03/2018 07:46:00","CET"
"TOTAL","FR0000120271","Paris","46.015","465.152,00","0.45847","26/03/2018 07:46:00","CET"
"ARCELORMITTAL SA","LU1598757687","Amsterdam","25.45","439.099,00","0.63266","26/03/2018 07:46:00","CET"
"ORANGE","FR0000133308","Paris","13.555","376.543,00","0.00","26/03/2018 07:46:00","CET"
"NATIXIS","FR0000120685","Paris","6.674","325.708,00","0.05997","26/03/2018 07:46:00","CET"
"ENGIE","FR0010208488","Paris","13.315","299.321,00","0.45266","26/03/2018 07:46:00","CET"
"ALTRAN TECHN.","FR0000034639","Paris","11.97","279.233,00","0.84246","26/03/2018 07:44:00","CET"
"CARREFOUR","FR0000120172","Paris","16.76","272.168,00","0.02984","26/03/2018 07:46:00","CET"
"STMICROELECTRONICS","NL0000226223","Paris","18.80","253.230,00","0.72328","26/03/2018 07:46:00","CET"
"BNP PARIBAS ACT.A","FR0000131104","Paris","59.46","240.551,00","0.37137","26/03/2018 07:46:00","CET"
"SANOFI","FR0000120578","Paris","64.54","213.457,00","1.30278","26/03/2018 07:46:00","CET"
"EDF","FR0010242511","Paris","11.45","213.069,00","0.26270","26/03/2018 07:46:00","CET"
"TECHNICOLOR","FR0010918292","Paris","1.396","201.299,00","-0.99291","26/03/2018 07:46:00","CET"
"AIRBUS","NL0000235190","Paris","92.93","193.071,00","0.01076","26/03/2018 07:46:00","CET"
"SOCIETE GENERALE","FR0000130809","Paris","43.62","189.366,00","0.16073","26/03/2018 07:46:00","CET"
"AIR FRANCE -KLM","FR0000031122","Paris","8.992","171.119,00","-0.17762","26/03/2018 07:46:00","CET"
"SAINT GOBAIN","FR0000125007","Paris","42.975","125.033,00","0.59691","26/03/2018 07:46:00","CET"
"BOLLORE","FR0000039299","Paris","4.268","122.714,00","-0.14038","26/03/2018 07:46:00","CET"
"PEUGEOT","FR0000121501","Paris","18.665","118.760,00","0.29554","26/03/2018 07:46:00","CET"
"VIVENDI","FR0000127771","Paris","21.08","112.891,00","0.14252","26/03/2018 07:46:00","CET"
"VINCI","FR0000125486","Paris","78.96","108.548,00","0.61162","26/03/2018 07:46:00","CET"
"AIR LIQUIDE","FR0000120073","Paris","99.84","107.042,00","0.60459","26/03/2018 07:46:00","CET"
"SCHNEIDER ELECTRIC","FR0000121972","Paris","69.44","97.895,00","0.69606","26/03/2018 07:46:00","CET"
"EUROPCAR","FR0012789949","Paris","9.425","96.438,00","0.69444","26/03/2018 07:46:00","CET"
"SUEZ","FR0010613471","Paris","11.30","95.230,00","0.31070","26/03/2018 07:46:00","CET"
"VEOLIA ENVIRON.","FR0000124141","Paris","18.83","89.253,00","0.13294","26/03/2018 07:46:00","CET"
"BUREAU VERITAS","FR0006174348","Paris","20.71","82.552,00","-0.38480","26/03/2018 07:46:00","CET"
"UBISOFT ENTERTAIN","FR0000054470","Paris","69.00","79.993,00","-2.59740","26/03/2018 07:46:00","CET"
"SOLOCAL GROUP","FR0012938884","Paris","1.146","75.941,00","-0.17422","26/03/2018 07:41:00","CET"
"SES","LU0088087324","Paris","12.24","66.286,00","1.40845","26/03/2018 07:46:00","CET"
"TECHNIPFMC","GB00BDSFG982","Paris","24.17","65.921,00","0.16577","26/03/2018 07:46:00","CET"
"DANONE","FR0000120644","Paris","64.05","63.892,00","-0.17145","26/03/2018 07:46:00","CET"
"KLEPIERRE","FR0000121964","Paris","31.65","60.238,00","-0.18921","26/03/2018 07:46:00","CET"
"GROUPE EUROTUNNEL","FR0010533075","Paris","11.49","59.941,00","0.00","26/03/2018 07:44:00","CET"
"ALSTOM","FR0010220475","Paris","36.23","55.875,00","0.94734","26/03/2018 07:43:00","CET"
"VALEO","FR0013176526","Paris","54.46","54.061,00","0.25773","26/03/2018 07:46:00","CET"
"LVMH","FR0000121014","Paris","245.20","53.849,00","0.94689","26/03/2018 07:46:00","CET"
"REXEL","FR0010451203","Paris","13.56","46.954,00","0.07380","26/03/2018 07:45:00","CET"
"PERNOD RICARD","FR0000120693","Paris","132.35","46.291,00","-0.74991","26/03/2018 07:46:00","CET"
"SCOR SE","FR0010411983","Paris","32.55","46.154,00","0.27726","26/03/2018 07:45:00","CET"
"RENAULT","FR0000131906","Paris","92.81","45.846,00","0.72715","26/03/2018 07:46:00","CET"
"UNIBAIL-RODAMCO","FR0000124711","Amsterdam","184.70","45.573,00","-0.56528","26/03/2018 07:46:00","CET"
"CAPGEMINI","FR0000125338","Paris","102.95","43.019,00","-0.19389","26/03/2018 07:46:00","CET"
"MICHELIN","FR0000121261","Paris","119.70","41.708,00","0.50378","26/03/2018 07:46:00","CET"
"SAFRAN","FR0000073272","Paris","83.12","40.743,00","0.19286","26/03/2018 07:46:00","CET"
"L'OREAL","FR0000120321","Paris","176.25","40.049,00","0.17050","26/03/2018 07:46:00","CET"
"PUBLICIS GROUPE SA","FR0000130577","Paris","55.64","32.309,00","-0.07184","26/03/2018 07:46:00","CET"
"EUTELSAT COMMUNIC.","FR0010221234","Paris","16.675","31.905,00","0.33093","26/03/2018 07:46:00","CET"
"ESSILOR INTL.","FR0000121667","Paris","107.70","31.778,00","0.00","26/03/2018 07:46:00","CET"
"MERCIALYS","FR0010241638","Paris","15.46","29.261,00","-0.83387","26/03/2018 07:46:00","CET"
"ACCOR","FR0000120404","Paris","44.59","25.341,00","0.20225","26/03/2018 07:46:00","CET"
"GENFIT","FR0004163111","Paris","22.86","24.841,00","-1.46552","26/03/2018 07:46:00","CET"
"BOUYGUES","FR0000120503","Paris","39.82","23.197,00","0.15091","26/03/2018 07:46:00","CET"
"LAGARDERE S.C.A.","FR0000130213","Paris","23.11","22.878,00","0.52197","26/03/2018 07:44:00","CET"
"FAURECIA","FR0000121147","Paris","64.06","22.122,00","0.47051","26/03/2018 07:46:00","CET"
"EDENRED","FR0010908533","Paris","28.24","22.033,00","-0.03540","26/03/2018 07:46:00","CET"
"LEGRAND","FR0010307819","Paris","62.86","21.634,00","0.12743","26/03/2018 07:44:00","CET"
"ELIS","FR0012435121","Paris","19.94","21.342,00","0.25138","26/03/2018 07:45:00","CET"
"DASSAULT SYSTEMES","FR0000130650","Paris","110.35","21.037,00","0.86837","26/03/2018 07:44:00","CET"
"WENDEL","FR0000121204","Paris","121.90","20.806,00","-0.24550","26/03/2018 07:46:00","CET"
"THALES","FR0000121329","Paris","96.40","20.591,00","0.20790","26/03/2018 07:45:00","CET"
"SODEXO","FR0000121220","Paris","98.46","18.914,00","0.42840","26/03/2018 07:46:00","CET"
"CASINO GUICHARD","FR0000125585","Paris","38.24","18.281,00","0.49934","26/03/2018 07:45:00","CET"
"SPIE","FR0012757854","Paris","17.58","17.680,00","-0.45300","26/03/2018 07:44:00","CET"
"GEMALTO","NL0000400653","Amsterdam","49.31","17.080,00","-0.16198","26/03/2018 07:46:00","CET"
"INGENICO GROUP","FR0000125346","Paris","64.96","16.979,00","1.08932","26/03/2018 07:46:00","CET"
"ILIAD","FR0004035913","Paris","171.80","15.997,00","0.49722","26/03/2018 07:46:00","CET"
"APERAM","LU0569974404","Amsterdam","38.67","14.921,00","0.41548","26/03/2018 07:46:00","CET"
"DBV TECHNOLOGIES","FR0010417345","Paris","36.24","14.614,00","0.44346","26/03/2018 07:42:00","CET"
